"Designator","Footprint","Manufacturer","ComponentName","Value","Tolerance","ValueII","ValueIII","Note"
"C1","SMD C1210","Murata",,"10 мкФ","20%","63 В","X5R",
"C2","SMD C0603","Murata",,"100 пФ","20%","6,3 В","X5R",
"C3","HMD ECAP-12.5x30-AXIAL","Vishay",,"150 мкФ","20%","63 В",,
"C4","SMD C0603","Murata",,"1 нФ","20%","6,3 В","X5R",
"C5","SMD C0603","Murata",,"56 пФ","20%","6,3 В","X5R",
"C6","SMD C1210","Murata",,"10 мкФ","20%","63 В","X5R",
"C7","SMD C1210","Murata",,"10 мкФ","20%","63 В","X5R",
"C8","SMD C1210","Murata",,"10 мкФ","20%","63 В","X5R",
"C9","SMD C0603","Murata",,"1 пФ","20%","6,3 В","X5R",
"C10","SMD C1210","Murata",,"10 мкФ","20%","63 В","X5R",
"C11","SMD C0603","Murata",,"30 пФ","20%","6,3 В","X5R",
"C12","SMD C1210","Murata",,"10 мкФ","20%","63 В","X5R",
"C13","SMD C1210","Murata",,"1 мкФ","20%","63 В","X5R",
"C14","SMD C0805","Murata",,"47 мкФ","20%","16 В","X5R",
"C15","SMD C1210","Murata",,"10 мкФ","20%","63 В","X5R",
"C16","SMD C0805","Murata",,"1 мкФ","20%","6,3 В","X5R",
"C17","SMD C1210","Murata",,"10 мкФ","20%","63 В","X5R",
"C18","SMD C0805","Murata",,"150 нФ","20%","16 В","X5R",
"C19","SMD C1210","Murata",,"10 мкФ","20%","6,3 В","X5R",
"C20","SMD C1210","Murata",,"10 мкФ","20%","6,3 В","X5R",
"C21","SMD C1210","Murata",,"10 мкФ","20%","6,3 В","X5R",
"C22","SMD C1210","Murata",,"10 мкФ","20%","6,3 В","X5R",
"C23","SMD C1210","Murata",,"10 мкФ","20%","6,3 В","X5R",
"C24","SMD C1210","Murata",,"10 мкФ","20%","6,3 В","X5R",
"C25","SMD C1210","Murata",,"100 мкФ","20%","6,3 В","X5R",
"C26","SMD C1210","Murata",,"100 мкФ","20%","6,3 В","X5R",
"DA1","SMD R-PVQFN-N20","Texas Instruments","TPS53219",,,,,
"L1","SMD WE-LHMI-1040","Wurth Electronics",744373680022,"0,8 мкГн","20%","24 А","800 мкОм",
"L2","SMD B82559/020","Epcos","B82559A3152A020","1 мкГн","10%","50 А","900 мкОм",
"R1","SMD R0603","Yageo",,"300 кОм","5%","0,1 Вт",,
"R2","SMD R0603","Yageo",,"30 кОм","5%","0,1 Вт",,
"R3","SMD R0603","Yageo",,"200 кОм","1%","0,1 Вт",,
"R4","SMD R0603","Yageo",,"442 кОм","1%","0,1 Вт",,
"R5","SMD R0603","Yageo",,"4,7 кОм","5%","0,1 Вт",,
"R6","SMD R0603","Yageo",,"47 кОм","5%","0,1 Вт",,
"R7","SMD R0603","Yageo",,"34 кОм","1%","0,1 Вт",,
"R8","SMD R0603","Yageo",,"47 кОм","5%","0,1 Вт",,
"R9","SMD R0603","Yageo",,"20 кОм","1%","0,1 Вт",,
"R10","SMD R0603","Yageo",,"1,8 кОм","5%","0,1 Вт",,
"R11","SMD R0603","Yageo",,"976 Ом","1%","0,1 Вт",,
"R12","SMD R0603","Yageo",,"47 кОм","5%","0,1 Вт",,
"R13","SMD R0603","Yageo",,"30 кОм","5%","0,1 Вт",,
"R14","SMD R0603","Yageo",,"3,74 кОм","1%","0,1 Вт",,
"R15","SMD R0603","Yageo",,"249 кОм","1%","0,1 Вт",,
"R16","SMD R0603","Yageo",,"10 кОм","5%","0,1 Вт",,
"R17","SMD R0603","Yageo",,"10 кОм","5%","0,1 Вт",,
"VD1","SMD MINIMELF-SOD80",,"Zener","3,3 В",,,,
"VT1","SMD SOT-23/BT","NXP","BC817",,,,,
"VT2","SMD SOT-23/BT","NXP","BC817",,,,,
"VT3","SMD TO-252/FET","Toshiba","TJ50S06M3L",,,,,
"VT4","SMD SO8 5x6 UNI/FET","Texas Instruments","CSD18531Q5A",,,,,
"VT5","SMD SO8 5x6 UNI/FET","Texas Instruments","CSD18532Q5B",,,,,
"VT6","SMD SO8 5x6 UNI/FET","Texas Instruments","CSD18533Q5A",,,,,
"VT7","SMD SO8 5x6 UNI/FET","Texas Instruments","CSD18534Q5A",,,,,
